p_zendar|禅 达 
p_village_78|能 美 
p_village_79|铃 鹿 
p_village_80|席 田 
p_village_81|石 川 
p_village_82|一 志 
p_village_83|东 南 条 
p_village_84|长 岛 
p_village_85|海 西 
p_village_86|河 北 
p_village_87|答 志 
p_village_88|爱 知 
p_village_89|海 东 
p_village_90|射 水 
p_village_91|春 日 井 
p_village_92|额 田 
p_village_93|龟 田 
p_village_94|渥 美 
p_village_95|八 名 
p_village_96|势 多 
p_village_97|敷 知 
p_village_98|城 东 
p_village_99|筑 摩 
p_village_100|周 智 
p_village_101|小 县 
p_village_102|榛 原 
p_village_103|安 倍 
p_village_104|刈 羽 
p_village_105|植 科 
p_village_106|水 内 
p_village_107|骏 东 
p_village_108|都 留 
p_village_109|三 岛 
p_village_110|古 志 
p_village_111|足 柄 峠 
p_village_112|群 马 
p_village_113|蒲 原 
p_village_114|入 间 
p_village_115|镰 仓 
p_village_116|埼 玉 
p_village_117|岩 船 
p_village_118|比 企 
p_village_119|三 浦 
p_village_120|置 赐 
p_village_121|多 摩 
p_village_122|葛 饰 
p_village_123|足 立 
p_village_124|田 川 
p_village_125|小 国 
p_village_126|天 羽 
p_village_127|河 内 
p_village_128|秋 田 
p_village_129|千 叶 
p_village_130|山 本 
p_village_131|赤 汤 
p_village_132|津 轻 
p_village_133|白 河 
p_village_134|新 治 
p_village_135|高 冈 
p_village_136|平 鹿 
p_village_137|村 山 
p_village_138|那 珂 
p_village_139|信 夫 
p_village_140|福 岛 
p_village_141|上 矶 
p_village_142|盐 谷 
p_village_143|标 叶 
p_village_144|磐 井 
p_village_145|磐 前 
p_village_146|岩 手 
p_village_147|桃 生 
p_village_148|佐 护 
p_village_149|壹 岐 
p_village_150|龟 田 
p_village_151|白 川 
p_village_152|田 村 
p_village_153|珠 洲 
p_village_154|凤 至 
p_village_155|羽 咋 
p_village_156|茨 城 
p_village_157|坂 井 
p_village_158|大 野 
p_village_159|远 敷 
p_village_160|上 房 
p_village_161|天 草 
p_village_162|阿 拜 
p_fort_1|佐 渡 
p_fort_2|对 马 
p_fort_3|根 来 寺 　
p_fort_4|壬 生 寺 
p_fort_5|西 虾 夷 
p_fort_6|东 虾 夷 
p_salt_mine|盐 矿 
p_four_ways_inn|四 方 客 栈 
p_test_scene|测 试 场 景 
p_battlefields|战 场 
p_dhorak_keep|多 拉 克 要 塞 
p_training_ground|训 练 场 
p_training_ground_1|训 练 场 
p_training_ground_2|训 练 场 
p_training_ground_3|训 练 场 
p_training_ground_4|训 练 场 
p_training_ground_5|训 练 场 
p_seto_pirate_spawn_point|濑 户 
p_kanto_rebel_spawn_point|关 东 
p_shinano_rebel_spawn_point|信 浓 
p_woku_pirate_spawn_point|九 州 
p_kinai_rebel_spawn_point|畿 内 
p_monk_rebel_spawn_point|东 海 道 
p_northern_raider_spawn_point|北 海 道 　 
