itm_no_item|无 效 项 目 
itm_velvet|丝 绸 
itm_velvet_pl|丝 绸 
itm_iron|铁 
itm_iron_pl|铁 
itm_tools|工 具 
itm_tools_pl|工 具 
itm_raw_leather|漆 液 
itm_raw_leather_pl|漆 液 
itm_leatherwork|漆 器 
itm_leatherwork_pl|漆 器 
itm_raw_date_fruit|蘑 菇 
itm_raw_date_fruit_pl|蘑 菇 
itm_furs|皮 草 
itm_furs_pl|皮 草 
itm_wine|酱 油 
itm_wine_pl|酱 油 
itm_ale|酒 
itm_ale_pl|酒 
itm_smoked_fish|海 鱼 干 
itm_smoked_fish_pl|海 鱼 干 
itm_cheese|味 增 汤 
itm_cheese_pl|味 增 汤 
itm_honey|芥 根 粉 
itm_honey_pl|芥 根 粉 
itm_sausages|饭 团 
itm_sausages_pl|饭 团 
itm_cabbages|蜜 柑 
itm_cabbages_pl|蜜 柑 
itm_dried_meat|河 鱼 干 
itm_dried_meat_pl|河 鱼 干 
itm_apples|咸 梅 
itm_apples_pl|咸 梅 
itm_raw_grapes|大 豆 
itm_raw_grapes_pl|大 豆 
itm_raw_olives|鱼 杂 
itm_raw_olives_pl|鱼 杂 
itm_grain|糙 米 
itm_grain_pl|糙 米 
itm_cattle_meat|牛 肉 
itm_cattle_meat_pl|牛 肉 
itm_bread|精 米 
itm_bread_pl|精 米 
itm_chicken|干 昆 布 
itm_chicken_pl|干 昆 布 
itm_pork|大 根 
itm_pork_pl|大 根 
itm_butter|味 增 
itm_butter_pl|味 增 
itm_siege_supply|补 给 品 
itm_siege_supply_pl|补 给 品 
itm_quest_wine|酱 油 
itm_quest_wine_pl|酱 油 
itm_quest_ale|清 酒 
itm_quest_ale_pl|清 酒 
itm_practice_horse|与 那 国 马 
itm_practice_horse_pl|与 那 国 马 
itm_sumpter_horse|野 间 马 （ 四 国 ） 
itm_sumpter_horse_pl|野 间 马 （ 四 国 ） 
itm_saddle_horse|对 州 马 （ 对 马 ） 
itm_saddle_horse_pl|对 州 马 （ 对 马 ） 
itm_steppe_horse|宫 古 马 （ 琉 球 ） 
itm_steppe_horse_pl|宫 古 马 （ 琉 球 ） 
itm_courser|道 产 子 （ 虾 夷 ） 
itm_courser_pl|道 产 子 （ 虾 夷 ） 
itm_arabian_horse_a|南 蛮 马 
itm_arabian_horse_a_pl|南 蛮 马 
itm_arabian_horse_b|托 加 拉 马 （ 萨 摩 ） 
itm_arabian_horse_b_pl|托 加 拉 马 （ 萨 摩 ） 
itm_hunter|木 曾 马 （ 本 州 ） 
itm_hunter_pl|木 曾 马 （ 本 州 ） 
itm_lyre|日 本 筝 
itm_lyre_pl|日 本 筝 
itm_lute|日 本 琵 琶 
itm_lute_pl|日 本 琵 琶 
itm_wooden_stick|木 枝 
itm_wooden_stick_pl|木 枝 
itm_club|木 棒 
itm_club_pl|木 棒 
itm_mace_1|尖 头 棒 
itm_mace_1_pl|尖 头 棒 
itm_cleaver|薙 镰 
itm_cleaver_pl|薙 镰 
itm_knife|小 刀 
itm_knife_pl|小 刀 
itm_butchering_knife|屠 宰 刀 
itm_butchering_knife_pl|屠 宰 刀 
itm_stones|石 子 
itm_stones_pl|石 子 
itm_gekokujo_katana_1|打 刀 
itm_gekokujo_katana_1_pl|打 刀 
itm_gekokujo_katana_2|打 刀 
itm_gekokujo_katana_2_pl|打 刀 
itm_gekokujo_katana_3|打 刀 
itm_gekokujo_katana_3_pl|打 刀 
itm_gekokujo_katana_4|相 州 传 打 刀 
itm_gekokujo_katana_4_pl|相 州 传 打 刀 
itm_gekokujo_katana_5|大 和 传 打 刀 
itm_gekokujo_katana_5_pl|大 和 传 打 刀 
itm_gekokujo_katana_6|备 前 传 打 刀 
itm_gekokujo_katana_6_pl|备 前 传 打 刀 
itm_gekokujo_katana_7|山 城 传 打 刀 
itm_gekokujo_katana_7_pl|山 城 传 打 刀 
itm_gekokujo_katana_8|美 浓 传 打 刀 
itm_gekokujo_katana_8_pl|美 浓 传 打 刀 
itm_gekokujo_katana_9|正 宗 打 刀 
itm_gekokujo_katana_9_pl|正 宗 打 刀 
itm_gekokujo_katana_10|村 正 打 刀 
itm_gekokujo_katana_10_pl|村 正 打 刀 
itm_gekokujo_tachi_1|太 刀 
itm_gekokujo_tachi_1_pl|太 刀 
itm_gekokujo_tachi_2|太 刀 
itm_gekokujo_tachi_2_pl|太 刀 
itm_gekokujo_tachi_3|太 刀 
itm_gekokujo_tachi_3_pl|太 刀 
itm_gekokujo_tachi_4|相 州 传 太 刀 
itm_gekokujo_tachi_4_pl|相 州 传 太 刀 
itm_gekokujo_tachi_5|大 和 传 太 刀 
itm_gekokujo_tachi_5_pl|大 和 传 太 刀 
itm_gekokujo_tachi_6|备 前 传 太 刀 
itm_gekokujo_tachi_6_pl|备 前 传 太 刀 
itm_gekokujo_tachi_7|山 城 传 太 刀 
itm_gekokujo_tachi_7_pl|山 城 传 太 刀 
itm_gekokujo_tachi_8|美 浓 传 太 刀 
itm_gekokujo_tachi_8_pl|美 浓 传 太 刀 
itm_gekokujo_tachi_9|正 宗 太 刀 
itm_gekokujo_tachi_9_pl|正 宗 太 刀 
itm_gekokujo_tachi_10|村 正 太 刀 
itm_gekokujo_tachi_10_pl|村 正 太 刀 
itm_gekokujo_nodachi_1|野 太 刀 
itm_gekokujo_nodachi_1_pl|野 太 刀 
itm_gekokujo_nodachi_2|野 太 刀 
itm_gekokujo_nodachi_2_pl|野 太 刀 
itm_gekokujo_nodachi_3|野 太 刀 
itm_gekokujo_nodachi_3_pl|野 太 刀 
itm_gekokujo_nodachi_4|相 州 传 野 太 刀 
itm_gekokujo_nodachi_4_pl|相 州 传 野 太 刀 
itm_gekokujo_nodachi_5|大 和 传 野 太 刀 
itm_gekokujo_nodachi_5_pl|大 和 传 野 太 刀 
itm_gekokujo_nodachi_6|备 前 传 野 太 刀 
itm_gekokujo_nodachi_6_pl|备 前 传 野 太 刀 
itm_gekokujo_nodachi_7|山 城 传 野 太 刀 
itm_gekokujo_nodachi_7_pl|山 城 传 野 太 刀 
itm_gekokujo_nodachi_8|美 浓 传 野 太 刀 
itm_gekokujo_nodachi_8_pl|美 浓 传 野 太 刀 
itm_gekokujo_nodachi_9|正 宗 野 太 刀 
itm_gekokujo_nodachi_9_pl|正 宗 野 太 刀 
itm_gekokujo_nodachi_10|村 正 野 太 刀 
itm_gekokujo_nodachi_10_pl|村 正 野 太 刀 
itm_gekokujo_nagamaki_1|长 卷 
itm_gekokujo_nagamaki_1_pl|长 卷 
itm_gekokujo_nagamaki_2|长 卷 
itm_gekokujo_nagamaki_2_pl|长 卷 
itm_gekokujo_nagamaki_3|长 卷 
itm_gekokujo_nagamaki_3_pl|长 卷 
itm_gekokujo_nagamaki_4|相 州 传 长 卷 
itm_gekokujo_nagamaki_4_pl|相 州 传 长 卷 
itm_gekokujo_nagamaki_5|大 和 传 长 卷 
itm_gekokujo_nagamaki_5_pl|大 和 传 长 卷 
itm_gekokujo_nagamaki_6|备 前 传 长 卷 
itm_gekokujo_nagamaki_6_pl|备 前 传 长 卷 
itm_gekokujo_nagamaki_7|山 城 传 长 卷 
itm_gekokujo_nagamaki_7_pl|山 城 传 长 卷 
itm_gekokujo_nagamaki_8|美 浓 传 长 卷 
itm_gekokujo_nagamaki_8_pl|美 浓 传 长 卷 
itm_gekokujo_nagamaki_9|正 宗 长 卷 
itm_gekokujo_nagamaki_9_pl|正 宗 长 卷 
itm_gekokujo_nagamaki_10|村 正 长 卷 
itm_gekokujo_nagamaki_10_pl|村 正 长 卷 
itm_gekokujo_wakizashi_1|胁 差 
itm_gekokujo_wakizashi_1_pl|胁 差 
itm_gekokujo_wakizashi_2|胁 差 
itm_gekokujo_wakizashi_2_pl|胁 差 
itm_gekokujo_wakizashi_3|胁 差 
itm_gekokujo_wakizashi_3_pl|胁 差 
itm_gekokujo_wakizashi_4|相 州 传 胁 差 
itm_gekokujo_wakizashi_4_pl|相 州 传 胁 差 
itm_gekokujo_wakizashi_5|大 和 传 胁 差 
itm_gekokujo_wakizashi_5_pl|大 和 传 胁 差 
itm_gekokujo_wakizashi_6|备 前 传 胁 差 
itm_gekokujo_wakizashi_6_pl|备 前 传 胁 差 
itm_gekokujo_wakizashi_7|山 城 传 胁 差 
itm_gekokujo_wakizashi_7_pl|备 前 传 胁 差 
itm_gekokujo_wakizashi_8|美 浓 传 胁 差 
itm_gekokujo_wakizashi_8_pl|美 浓 传 胁 差 
itm_gekokujo_wakizashi_9|正 宗 胁 差 
itm_gekokujo_wakizashi_9_pl|正 宗 胁 差 
itm_gekokujo_wakizashi_10|村 正 胁 差 
itm_gekokujo_wakizashi_10_pl|村 正 胁 差 
itm_gekokujo_tanto_1|短 刀 
itm_gekokujo_tanto_1_pl|短 刀 
itm_gekokujo_tanto_2|短 刀 
itm_gekokujo_tanto_2_pl|短 刀 
itm_gekokujo_tanto_3|短 刀 
itm_gekokujo_tanto_3_pl|短 刀 
itm_gekokujo_tanto_4|相 州 传 短 刀 
itm_gekokujo_tanto_4_pl|相 州 传 短 刀 
itm_gekokujo_tanto_5|大 和 传 短 刀 
itm_gekokujo_tanto_5_pl|大 和 传 短 刀 
itm_gekokujo_tanto_6|备 前 传 短 刀 
itm_gekokujo_tanto_6_pl|备 前 传 短 刀 
itm_gekokujo_tanto_7|山 城 传 短 刀 
itm_gekokujo_tanto_7_pl|山 城 传 短 刀 
itm_gekokujo_tanto_8|美 浓 传 短 刀 
itm_gekokujo_tanto_8_pl|美 浓 传 短 刀 
itm_gekokujo_tanto_9|正 宗 短 刀 
itm_gekokujo_tanto_9_pl|正 宗 短 刀 
itm_gekokujo_tanto_10|村 正 短 刀 
itm_gekokujo_tanto_10_pl|村 正 短 刀 
itm_gekokujo_ninjato_1|忍 刀 
itm_gekokujo_ninjato_1_pl|忍 刀 
itm_gekokujo_ninjato_2|忍 刀 
itm_gekokujo_ninjato_2_pl|忍 刀 
itm_gekokujo_ninjato_3|忍 刀 
itm_gekokujo_ninjato_3_pl|忍 刀 
itm_gekokujo_ninjato_4|忍 刀 
itm_gekokujo_ninjato_4_pl|忍 刀 
itm_gekokujo_shuriken|手 里 剑 
itm_gekokujo_shuriken_pl|手 里 剑 
itm_gekokujo_kunai|苦 无 
itm_gekokujo_kunai_pl|苦 无 
itm_gekokujo_sabakato_blunt|逆 刃 刀 
itm_gekokujo_sabakato_blunt_pl|逆 刃 刀 
itm_gekokujo_sabakato_sharp|逆 刃 刀 
itm_gekokujo_sabakato_sharp_pl|逆 刃 刀 
itm_gekokujo_mongol_1|蒙 古 利 斧 
itm_gekokujo_mongol_1_pl|蒙 古 利 斧 
itm_gekokujo_chinese_1|明 国 长 刀 
itm_gekokujo_chinese_1_pl|明 国 长 刀 
itm_gekokujo_chinese_2|明 国 柳 叶 刀 
itm_gekokujo_chinese_2_pl|明 国 柳 叶 刀 
itm_gekokujo_chinese_3|中 国 唐 刀 
itm_gekokujo_chinese_3_pl|中 国 唐 刀 
itm_gekokujo_chinese_4|中 国 唐 刀 
itm_gekokujo_chinese_4_pl|中 国 唐 刀 
itm_gekokujo_chinese_5|中 国 唐 刀 
itm_gekokujo_chinese_5_pl|中 国 唐 刀 
itm_gekokujo_ezo_sword_1|田 代 
itm_gekokujo_ezo_sword_1_pl|田 代 
itm_gekokujo_ezo_sword_2|蕨 手 
itm_gekokujo_ezo_sword_2_pl|蕨 手 
itm_gekokujo_ezo_sword_3|泉 涌 
itm_gekokujo_ezo_sword_3_pl|泉 涌 
itm_gekokujo_naginata_1|薙 刀 
itm_gekokujo_naginata_1_pl|薙 刀 
itm_gekokujo_naginata_2|薙 刀 
itm_gekokujo_naginata_2_pl|薙 刀 
itm_gekokujo_naginata_3|薙 刀 
itm_gekokujo_naginata_3_pl|薙 刀 
itm_gekokujo_naginata_4|相 州 传 薙 刀 
itm_gekokujo_naginata_4_pl|相 州 传 薙 刀 
itm_gekokujo_naginata_5|大 和 传 薙 刀 
itm_gekokujo_naginata_5_pl|大 和 传 薙 刀 
itm_gekokujo_naginata_6|备 前 传 薙 刀 
itm_gekokujo_naginata_6_pl|备 前 传 薙 刀 
itm_gekokujo_naginata_7|山 城 传 薙 刀 
itm_gekokujo_naginata_7_pl|山 城 传 薙 刀 
itm_gekokujo_naginata_8|美 浓 传 薙 刀 
itm_gekokujo_naginata_8_pl|美 浓 传 薙 刀 
itm_gekokujo_naginata_9|正 宗 薙 刀 
itm_gekokujo_naginata_9_pl|正 宗 薙 刀 
itm_gekokujo_naginata_10|村 正 薙 刀 
itm_gekokujo_naginata_10_pl|村 正 薙 刀 
itm_gekokujo_guandao_1|明 国 关 刀 
itm_gekokujo_guandao_1_pl|明 国 关 刀 
itm_gekokujo_yari_bamboo_1|竹 枪 
itm_gekokujo_yari_bamboo_1_pl|竹 枪 
itm_gekokujo_fukuro_yari_1|袋 长 枪 
itm_gekokujo_fukuro_yari_1_pl|袋 长 枪 
itm_gekokujo_fukuro_yari_2|袋 长 枪 
itm_gekokujo_fukuro_yari_2_pl|袋 长 枪 
itm_gekokujo_fukuro_yari_3|袋 穗 枪 
itm_gekokujo_fukuro_yari_3_pl|袋 穗 枪 
itm_gekokujo_fukuro_yari_4|袋 穗 枪 
itm_gekokujo_fukuro_yari_4_pl|袋 穗 枪 
itm_gekokujo_yari_1|素 枪 
itm_gekokujo_yari_1_pl|素 枪 
itm_gekokujo_yari_2|素 长 枪 
itm_gekokujo_yari_2_pl|素 长 枪 
itm_gekokujo_yari_3|素 枪 
itm_gekokujo_yari_3_pl|素 枪 
itm_gekokujo_yari_4|相 州 传 素 长 枪 
itm_gekokujo_yari_4_pl|相 州 传 素 长 枪 
itm_gekokujo_yari_5|大 和 传 素 长 枪 
itm_gekokujo_yari_5_pl|大 和 传 素 长 枪 
itm_gekokujo_yari_6|山 城 传 素 长 枪 
itm_gekokujo_yari_6_pl|山 城 传 素 长 枪 
itm_gekokujo_omi_yari_1|近 江 枪 
itm_gekokujo_omi_yari_1_pl|近 江 枪 
itm_gekokujo_omi_yari_2|近 江 枪 
itm_gekokujo_omi_yari_2_pl|近 江 枪 
itm_gekokujo_omi_yari_3|近 江 枪 
itm_gekokujo_omi_yari_3_pl|近 江 枪 
itm_gekokujo_jumonji_yari_1|十 文 字 枪 
itm_gekokujo_jumonji_yari_1_pl|十 文 字 枪 
itm_gekokujo_jumonji_yari_2|十 文 字 枪 
itm_gekokujo_jumonji_yari_2_pl|十 文 字 枪 
itm_gekokujo_jumonji_yari_3|十 文 字 枪 
itm_gekokujo_jumonji_yari_3_pl|十 文 字 枪 
itm_gekokujo_jumonji_yari_4|十 文 字 枪 
itm_gekokujo_jumonji_yari_4_pl|十 文 字 枪 
itm_gekokujo_jumonji_yari_5|十 文 字 枪 
itm_gekokujo_jumonji_yari_5_pl|十 文 字 枪 
itm_gekokujo_katakama_yari_1|片 镰 枪 
itm_gekokujo_katakama_yari_1_pl|片 镰 枪 
itm_gekokujo_katakama_yari_2|片 镰 枪 
itm_gekokujo_katakama_yari_2_pl|片 镰 枪 
itm_gekokujo_katakama_yari_3|片 镰 枪 
itm_gekokujo_katakama_yari_3_pl|片 镰 枪 
itm_gekokujo_kama_1|镰 刀 
itm_gekokujo_kama_1_pl|镰 刀 
itm_gekokujo_kama_2|镰 刀 
itm_gekokujo_kama_2_pl|镰 刀 
itm_gekokujo_jo|杖 
itm_gekokujo_jo_pl|杖 
itm_gekokujo_bo|棍 
itm_gekokujo_bo_pl|棍 
itm_gekokujo_bo_iron|铁 棍 
itm_gekokujo_bo_iron_pl|铁 棍 
itm_gekokujo_otsuchi|大 槌 
itm_gekokujo_otsuchi_pl|大 槌 
itm_gekokujo_konsaibo_1|鬼 金 棒 
itm_gekokujo_konsaibo_1_pl|鬼 金 棒 
itm_gekokujo_konsaibo_2|鬼 金 棒 
itm_gekokujo_konsaibo_2_pl|鬼 金 棒 
itm_gekokujo_tetsubo_1|钢 棒 
itm_gekokujo_tetsubo_1_pl|钢 棒 
itm_gekokujo_tetsubo_2|钢 棒 
itm_gekokujo_tetsubo_2_pl|钢 棒 
itm_gekokujo_kanabo_practice|练 习 金 棒 
itm_gekokujo_kanabo_practice_pl|练 习 金 棒 
itm_gekokujo_yumi_1|练 习 和 弓 
itm_gekokujo_yumi_1_pl|练 习 和 弓 
itm_gekokujo_yumi_2|竹 制 和 弓 
itm_gekokujo_yumi_2_pl|竹 制 和 弓 
itm_gekokujo_yumi_3|简 弓 
itm_gekokujo_yumi_3_pl|简 弓 
itm_gekokujo_yumi_4|半 弓 
itm_gekokujo_yumi_4_pl|半 弓 
itm_gekokujo_yumi_5|和 弓 
itm_gekokujo_yumi_5_pl|和 弓 
itm_gekokujo_yumi_6|和 弓 
itm_gekokujo_yumi_6_pl|和 弓 
itm_gekokujo_yumi_7|日 本 战 弓 
itm_gekokujo_yumi_7_pl|日 本 战 弓 
itm_gekokujo_yumi_8|日 本 战 弓 
itm_gekokujo_yumi_8_pl|日 本 战 弓 
itm_gekokujo_yumi_9|短 弓 
itm_gekokujo_yumi_9_pl|短 弓 
itm_gekokujo_bow_ezo|虾 夷 弓 
itm_gekokujo_bow_ezo_pl|虾 夷 弓 
itm_gekokujo_bow_mongol|蒙 古 弓 
itm_gekokujo_bow_mongol_pl|蒙 古 弓 
itm_gekokujo_bow_korean|朝 鲜 弓 
itm_gekokujo_bow_korean_pl|朝 鲜 弓 
itm_gekokujo_arquebus_1|肥 前 铁 炮 
itm_gekokujo_arquebus_1_pl|肥 前 铁 炮 
itm_gekokujo_arquebus_2|酒 井 铁 炮 
itm_gekokujo_arquebus_2_pl|酒 井 铁 炮 
itm_gekokujo_arquebus_3|国 友 铁 炮 
itm_gekokujo_arquebus_3_pl|国 友 铁 炮 
itm_gekokujo_arquebus_4|南 蛮 铁 炮 
itm_gekokujo_arquebus_4_pl|南 蛮 铁 炮 
itm_gekokujo_arquebus_5|根 来 大 筒 
itm_gekokujo_arquebus_5_pl|根 来 大 筒 
itm_gekokujo_bullets_1|子 弹 
itm_gekokujo_bullets_1_pl|子 弹 
itm_gekokujo_bullets_2|重 子 弹 
itm_gekokujo_bullets_2_pl|重 子 弹 
itm_gekokujo_arrows_1|箭 
itm_gekokujo_arrows_1_pl|箭 
itm_gekokujo_arrows_2|箭 
itm_gekokujo_arrows_2_pl|箭 
itm_gekokujo_arrows_3|战 箭 
itm_gekokujo_arrows_3_pl|战 箭 
itm_gekokujo_arrows_4|礼 箭 
itm_gekokujo_arrows_4_pl|礼 箭 
itm_gekokujo_arrows_foreign|异 形 箭 
itm_gekokujo_arrows_foreign_pl|异 形 箭 
itm_gekokujo_practice_jo|练 习 杖 
itm_gekokujo_practice_jo_pl|练 习 杖 
itm_gekokujo_practice_wakizashi|练 习 胁 差 
itm_gekokujo_practice_wakizashi_pl|练 习 胁 差 
itm_gekokujo_practice_katana|练 习 打 刀 
itm_gekokujo_practice_katana_pl|练 习 打 刀 
itm_gekokujo_practice_nodachi|练 习 野 太 刀 
itm_gekokujo_practice_nodachi_pl|练 习 野 太 刀 
itm_gekokujo_practice_yari|练 习 枪 
itm_gekokujo_practice_yari_pl|练 习 枪 
itm_gekokujo_practice_naginata|练 习 薙 刀 
itm_gekokujo_practice_naginata_pl|练 习 薙 刀 
itm_gekokujo_practice_yumi|练 习 和 弓 
itm_gekokujo_practice_yumi_pl|练 习 和 弓 
itm_gekokujo_practice_arrows|练 习 箭 
itm_gekokujo_practice_arrows_pl|练 习 箭 
itm_gekokujo_practice_kunai|练 习 苦 无 
itm_gekokujo_practice_kunai_pl|练 习 苦 无 
itm_gekokujo_practice_kunai_melee|练 习 苦 无 
itm_gekokujo_practice_kunai_melee_pl|练 习 苦 无 
itm_gekokujo_ezo_armor_1|虾 夷 服 饰 
itm_gekokujo_ezo_armor_1_pl|虾 夷 服 饰 
itm_gekokujo_ezo_robes_1|虾 夷 服 饰 
itm_gekokujo_ezo_robes_1_pl|虾 夷 服 饰 
itm_gekokujo_ezo_robes_2|虾 夷 服 饰 
itm_gekokujo_ezo_robes_2_pl|虾 夷 服 饰 
itm_gekokujo_ezo_robes_3|虾 夷 服 饰 
itm_gekokujo_ezo_robes_3_pl|虾 夷 服 饰 
itm_nomad_armor|游 牧 甲 
itm_nomad_armor_pl|游 牧 甲 
itm_ragged_outfit|褶 皱 服 
itm_ragged_outfit_pl|褶 皱 服 
itm_nomad_vest|游 牧 背 心 
itm_nomad_vest_pl|游 牧 背 心 
itm_tribal_warrior_outfit|部 落 勇 士 服 
itm_tribal_warrior_outfit_pl|部 落 勇 士 服 
itm_pelt_coat|毛 皮 外 套 
itm_pelt_coat_pl|毛 皮 外 套 
itm_pilgrim_disguise|忍 者 服 
itm_pilgrim_disguise_pl|忍 者 服 
itm_pilgrim_hood|朝 圣 者 帽 
itm_pilgrim_hood_pl|朝 圣 者 帽 
itm_leather_apron|皮 围 裙 
itm_leather_apron_pl|皮 围 裙 
itm_leather_boots|皮 靴 
itm_leather_boots_pl|皮 靴 
itm_hide_boots|兽 皮 靴 
itm_hide_boots_pl|兽 皮 靴 
itm_nomad_boots|兽 皮 靴 
itm_nomad_boots_pl|兽 皮 靴 
itm_gekokujo_kimono_1_1|男 装 
itm_gekokujo_kimono_1_1_pl|男 装 
itm_gekokujo_kimono_1_2|男 装 
itm_gekokujo_kimono_1_2_pl|男 装 
itm_gekokujo_kimono_1_3|男 装 
itm_gekokujo_kimono_1_3_pl|男 装 
itm_gekokujo_kimono_2_1|野 外 服 装 
itm_gekokujo_kimono_2_1_pl|野 外 服 装 
itm_gekokujo_kimono_2_2|野 外 服 装 
itm_gekokujo_kimono_2_2_pl|野 外 服 装 
itm_gekokujo_kimono_2_3|野 外 服 装 
itm_gekokujo_kimono_2_3_pl|野 外 服 装 
itm_gekokujo_kimono_3_1|女 装 
itm_gekokujo_kimono_3_1_pl|女 装 
itm_gekokujo_kimono_3_2|女 装 
itm_gekokujo_kimono_3_2_pl|女 装 
itm_gekokujo_kimono_3_3|女 装 
itm_gekokujo_kimono_3_3_pl|女 装 
itm_gekokujo_kimono_3_4|女 装 
itm_gekokujo_kimono_3_4_pl|女 装 
itm_gekokujo_kimono_3_5|女 装 
itm_gekokujo_kimono_3_5_pl|女 装 
itm_gekokujo_kimono_3_6|女 装 
itm_gekokujo_kimono_3_6_pl|女 装 
itm_gekokujo_hakama_1|武 士 服 
itm_gekokujo_hakama_1_pl|武 士 服 
itm_gekokujo_hakama_2|武 士 服 
itm_gekokujo_hakama_2_pl|武 士 服 
itm_gekokujo_hakama_3|武 士 服 
itm_gekokujo_hakama_3_pl|武 士 服 
itm_gekokujo_hakama_4|武 士 服 
itm_gekokujo_hakama_4_pl|武 士 服 
itm_gekokujo_hakama_5|武 士 服 
itm_gekokujo_hakama_5_pl|武 士 服 
itm_gekokujo_hakama_6|武 士 服 
itm_gekokujo_hakama_6_pl|武 士 服 
itm_gekokujo_haori_1|武 士 服 
itm_gekokujo_haori_1_pl|武 士 服 
itm_gekokujo_haori_2|武 士 服 
itm_gekokujo_haori_2_pl|武 士 服 
itm_gekokujo_haori_3|武 士 服 
itm_gekokujo_haori_3_pl|武 士 服 
itm_gekokujo_haori_4|武 士 服 
itm_gekokujo_haori_4_pl|武 士 服 
itm_gekokujo_haori_5|武 士 服 
itm_gekokujo_haori_5_pl|武 士 服 
itm_gekokujo_haori_6|武 士 服 
itm_gekokujo_haori_6_pl|武 士 服 
itm_gekokujo_kimono_2_monk|袈 裟 
itm_gekokujo_kimono_2_monk_pl|袈 裟 
itm_gekokujo_hakama_1_miko|巫 女 服 
itm_gekokujo_hakama_1_miko_pl|巫 女 服 
itm_gekokujo_tatami_half_1|畳 胴 腹 当 
itm_gekokujo_tatami_half_1_pl|畳 胴 腹 当 
itm_gekokujo_tatami_half_2|畳 胴 腹 当 
itm_gekokujo_tatami_half_2_pl|畳 胴 腹 当 
itm_gekokujo_tatami_half_3|畳 胴 腹 当 
itm_gekokujo_tatami_half_3_pl|畳 胴 腹 当 
itm_gekokujo_okegawa_half_1|桶 侧 腹 当 
itm_gekokujo_okegawa_half_1_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_2|桶 侧 腹 当 
itm_gekokujo_okegawa_half_2_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_3|桶 侧 腹 当 
itm_gekokujo_okegawa_half_3_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_4|桶 侧 腹 当 
itm_gekokujo_okegawa_half_4_pl|桶 侧 腹 当 
itm_gekokujo_okegawa_half_5|桶 侧 腹 当 
